StrategyName,Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date,Parameters
,SELL,1.13111,1.13424,-34.27,-31.3,02/02/2015 13:00:00,02/02/2015 15:00:00,0.405,0.405,9489.4350000000031,-0.0036831271723546991,02/02/2015 13:00:00,02/02/2015 15:00:00,
,BUY,1.1342538,1.13334,-9.97,-9.1,02/02/2015 15:00:00,02/03/2015 09:00:00,0.405,0.415,9478.6450000000041,-0.0011370539974191352,02/02/2015 15:00:00,02/03/2015 09:00:00,
,SELL,1.13332,1.14193,-96.02,-86.1,02/03/2015 09:00:00,02/03/2015 12:43:40,0.415,0.415,9381.7950000000037,-0.010217705167774541,02/03/2015 09:00:00,02/03/2015 12:43:40,
,BUY,1.1443438,1.14661,25.01,22.7,02/03/2015 13:00:00,02/04/2015 07:00:00,0.415,0.405,9405.9850000000042,0.0025783978439094545,02/03/2015 13:00:00,02/04/2015 07:00:00,
,SELL,1.1466206,1.13807,89.37,85.5,02/04/2015 07:00:00,02/05/2015 07:00:00,0.405,0.39,9494.5600000000049,0.0094168765950616209,02/04/2015 07:00:00,02/05/2015 07:00:00,
,BUY,1.1381138,1.14483,68.57,67.2,02/05/2015 07:00:00,02/06/2015 07:00:00,0.39,0.38,9562.3600000000042,0.0071409312279873145,02/05/2015 07:00:00,02/06/2015 07:00:00,
,SELL,1.1448502,1.13442,103.9,104.3,02/06/2015 07:00:00,02/09/2015 07:00:00,0.38,0.385,9665.4950000000044,0.010785517382738171,02/06/2015 07:00:00,02/09/2015 07:00:00,
,BUY,1.13441,1.13112,-34.2,-32.9,02/09/2015 07:00:00,02/09/2015 11:00:00,0.385,0.385,9630.5250000000033,-0.0036180247364466225,02/09/2015 07:00:00,02/09/2015 11:00:00,
,SELL,1.13113,1.1316,-4.87,-4.7,02/09/2015 11:00:00,02/09/2015 16:00:00,0.385,0.385,9624.885000000002,-0.00058563785463422143,02/09/2015 11:00:00,02/09/2015 16:00:00,
,BUY,1.1316438,1.12849,-32.64,-31.5,02/09/2015 16:00:00,02/10/2015 09:00:00,0.385,0.39,9591.470000000003,-0.0034717297920961181,02/09/2015 16:00:00,02/10/2015 09:00:00,
,SELL,1.12848,1.13126,-29.3,-27.8,02/10/2015 09:00:00,02/10/2015 17:00:00,0.39,0.39,9561.3900000000031,-0.00313611990654195,02/10/2015 09:00:00,02/10/2015 17:00:00,
,BUY,1.1312538,1.13033,-9.71,-9.2,02/10/2015 17:00:00,02/11/2015 11:00:00,0.39,0.6,9550.6900000000041,-0.0011190841498985927,02/10/2015 17:00:00,02/11/2015 11:00:00,
,SELL,1.13033,1.1338,-37.66,-34.7,02/11/2015 11:00:00,02/11/2015 21:00:00,0.6,0.2,9512.230000000005,-0.0040269341796246253,02/11/2015 11:00:00,02/11/2015 23:00:00,
,BUY,1.1339538,1.14056,71.41,66.1,02/11/2015 21:00:00,02/13/2015 10:00:00,0.2,0.415,9583.0250000000051,0.0074425239927966456,02/11/2015 23:00:00,02/13/2015 10:00:00,
,SELL,1.1405402,1.14148,-10.47,-9.4,02/13/2015 10:00:00,02/16/2015 02:00:00,0.415,0.4475,9571.6925000000065,-0.0011825597867060362,02/13/2015 10:00:00,02/16/2015 02:00:00,
,BUY,1.14148,1.14058,-10.91,-9,02/16/2015 02:00:01,02/16/2015 13:00:00,0.4475,0.4475,9559.8875000000062,-0.0012333242005006203,02/16/2015 02:00:01,02/16/2015 13:00:00,
,SELL,1.1406102,1.13518,65.72,54.3,02/16/2015 13:00:00,02/17/2015 08:00:00,0.4475,0.455,9624.7050000000054,0.0067801530091226659,02/16/2015 13:00:00,02/17/2015 08:00:00,
,BUY,1.1351938,1.1399,57.35,47.1,02/17/2015 08:00:00,02/18/2015 01:00:00,0.455,0.455,9681.1450000000059,0.0058640758340126244,02/17/2015 08:00:00,02/18/2015 01:00:00,
,SELL,1.1399,1.13811,21.66,17.9,02/18/2015 01:00:10,02/18/2015 19:00:00,0.455,0.455,9701.8950000000059,0.0021433415159054004,02/18/2015 01:00:10,02/18/2015 19:00:00,
,BUY,1.1381715,1.13965,17.93,14.8,02/18/2015 19:00:00,02/19/2015 11:00:00,0.455,0.46,9718.9100000000053,0.0017537810912197471,02/18/2015 19:00:00,02/19/2015 11:00:00,
,SELL,1.1396002,1.13705,31.38,25.5,02/19/2015 11:00:00,02/20/2015 15:00:00,0.46,0.465,9749.3650000000052,0.0031335818522858954,02/19/2015 11:00:00,02/20/2015 15:00:00,
,BUY,1.1370438,1.13435,-33.68,-26.9,02/20/2015 15:00:00,02/23/2015 08:00:00,0.465,0.475,9714.7450000000044,-0.0035510005010583544,02/20/2015 15:00:00,02/23/2015 08:00:00,
,SELL,1.1344402,1.13332,14.32,11.2,02/23/2015 08:00:00,02/24/2015 03:00:00,0.475,0.47666666666666663,9728.1133333333382,0.0013760869002051818,02/23/2015 08:00:00,02/24/2015 03:00:00,
,BUY,1.13332,1.13028,-38.92,-30.4,02/24/2015 03:00:02,02/24/2015 09:00:00,0.47666666666666663,0.47666666666666663,9688.2400000000052,-0.0040987735203194221,02/24/2015 03:00:02,02/24/2015 09:00:00,
,SELL,1.13029,1.13333,-38.76,-30.4,02/24/2015 09:00:00,02/24/2015 13:00:00,0.47666666666666663,0.47666666666666663,9648.5266666666721,-0.004099127739747686,02/24/2015 09:00:00,02/24/2015 13:00:00,
,BUY,1.1334653,1.13509,20.63,16.2,02/24/2015 13:00:00,02/26/2015 07:00:00,0.47666666666666663,0.49,9668.1900000000041,0.0020379622726508194,02/24/2015 13:00:00,02/26/2015 07:00:00,
,SELL,1.1351102,1.12149,182.91,136.2,02/26/2015 07:00:01,02/27/2015 07:00:00,0.49,0.4775,9850.1325000000033,0.018818672367837116,02/26/2015 07:00:01,02/27/2015 07:00:00,
,BUY,1.1215,1.11867,-36.2,-28.3,02/27/2015 07:00:00,02/27/2015 14:00:00,0.4775,0.4775,9812.9775000000027,-0.003772030477762674,02/27/2015 07:00:00,02/27/2015 14:00:00,
,SELL,1.1186702,1.12168,-38.36,-30.1,02/27/2015 14:00:00,03/02/2015 09:00:00,0.4775,0.4925,9773.6475000000028,-0.004007957829313266,02/27/2015 14:00:00,03/02/2015 09:00:00,
,BUY,1.12167,1.11887,-38.02,-28,03/02/2015 09:00:00,03/02/2015 16:00:00,0.4925,0.4925,9734.6425000000017,-0.0039908335143047681,03/02/2015 09:00:00,03/02/2015 16:00:00,
,SELL,1.1188802,1.12052,-22.17,-16.4,03/02/2015 16:00:00,03/03/2015 07:00:00,0.4925,0.50125,9711.478750000002,-0.0023795172755445007,03/02/2015 16:00:00,03/03/2015 07:00:00,
,BUY,1.12048,1.11722,-44.59,-32.6,03/03/2015 07:00:00,03/03/2015 09:00:00,0.50125,0.50125,9665.8862500000014,-0.0046947021327725857,03/03/2015 07:00:00,03/03/2015 09:00:00,
,SELL,1.11724,1.11996,-37.03,-27.2,03/03/2015 09:00:00,03/03/2015 14:00:00,0.50125,0.50125,9627.85375,-0.0039347142120569811,03/03/2015 09:00:00,03/03/2015 14:00:00,
,BUY,1.11999,1.11753,-33.36,-24.6,03/03/2015 14:00:00,03/03/2015 20:00:00,0.50125,0.50125,9593.49125,-0.0035690716635575289,03/03/2015 14:00:00,03/03/2015 20:00:00,
,SELL,1.1175412,1.08581,428.78,317.3,03/03/2015 20:00:00,03/09/2015 06:00:00,0.50125,0.445,10021.324999999999,0.044596251651347452,03/03/2015 20:00:00,03/09/2015 06:00:00,
,BUY,1.0858,1.08585,0.69,0.5,03/09/2015 06:00:00,03/09/2015 12:00:00,0.445,0.445,10021.125,-1.9957440757475546E-05,03/09/2015 06:00:00,03/09/2015 12:00:00,
,SELL,1.085851,1.0568,398.81,290.5,03/09/2015 12:00:00,03/12/2015 06:00:00,0.445,0.42,10419.07,0.039710611333557827,03/09/2015 12:00:00,03/12/2015 06:00:00,
,BUY,1.0568338,1.06264,74.69,58.1,03/12/2015 06:00:00,03/12/2015 23:00:00,0.42,0.4,10492.94,0.0070898842219123976,03/12/2015 06:00:00,03/12/2015 23:00:00,
,SELL,1.0626702,1.05254,125.06,101.3,03/12/2015 23:00:00,03/16/2015 05:00:00,0.4,0.395,10617.205,0.011842724727292772,03/12/2015 23:00:00,03/16/2015 05:00:00,
,BUY,1.0525738,1.05625,46.47,36.8,03/16/2015 05:00:00,03/17/2015 00:00:00,0.395,0.39833333333333337,10662.881666666666,0.0043021366420509235,03/16/2015 05:00:00,03/17/2015 00:00:00,
