Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date
SELL, 1.1963, 1.1957, 7.79, 6, 1/5/2015 1:00:00 AM, 1/5/2015 8:00:00 AM, 0.464, 0.464, 10006.862, 0.000686200000000099, 1/5/2015 1:00:00 AM, 1/5/2015 8:00:00 AM
BUY, 1.19558, 1.18997, -72.91, -56.1, 1/5/2015 8:00:00 AM, 1/5/2015 1:00:00 PM, 0.464, 0.464, 9933.024, -0.00737873671086898, 1/5/2015 8:00:00 AM, 1/5/2015 1:00:00 PM
SELL, 1.1899602, 1.19464, -60.37, -46.8, 1/5/2015 1:00:00 PM, 1/6/2015 3:00:00 AM, 0.464, 0.567142857142857, 9871.62285714286, -0.00618151560462785, 1/5/2015 1:00:00 PM, 1/6/2015 3:00:00 AM
BUY, 1.19464, 1.19079, -48.73, -38.5, 1/6/2015 3:00:05 AM, 1/6/2015 10:00:00 AM, 0.567142857142857, 0.567142857142857, 9821.75857142857, -0.00505127540181555, 1/6/2015 3:00:05 AM, 1/6/2015 10:00:00 AM
SELL, 1.19079, 1.19374, -37.15, -29.5, 1/6/2015 10:00:00 AM, 1/6/2015 5:00:00 PM, 0.567142857142857, 0.567142857142857, 9783.47428571429, -0.00389790539401515, 1/6/2015 10:00:00 AM, 1/6/2015 5:00:00 PM
BUY, 1.19369, 1.18985, -48.17, -38.4, 1/6/2015 5:00:00 PM, 1/6/2015 9:00:00 PM, 0.567142857142857, 0.567142857142857, 9734.17, -0.00503954773881094, 1/6/2015 5:00:00 PM, 1/6/2015 9:00:00 PM
SELL, 1.1898402, 1.18505, 59.79, 47.9, 1/6/2015 9:00:01 PM, 1/7/2015 8:00:00 PM, 0.32, 0.32, 9793.32, 0.00607653246244944, 1/7/2015 12:00:00 AM, 1/7/2015 8:00:00 PM
BUY, 1.1851115, 1.18202, -37.38, -30.9, 1/7/2015 8:00:00 PM, 1/8/2015 8:00:00 AM, 0.32, 0.465, 9755.155, -0.00389704410761611, 1/7/2015 8:00:00 PM, 1/8/2015 8:00:00 AM
SELL, 1.182, 1.181, 11.9, 10, 1/8/2015 8:00:00 AM, 1/8/2015 5:00:00 PM, 0.465, 0.465, 9766.125, 0.00112453364400661, 1/8/2015 8:00:00 AM, 1/8/2015 5:00:00 PM
BUY, 1.1810338, 1.17876, -27.08, -22.7, 1/8/2015 5:00:00 PM, 1/9/2015 2:00:00 PM, 0.465, 0.4575, 9738.1225, -0.00286730919376933, 1/8/2015 5:00:00 PM, 1/9/2015 2:00:00 PM
SELL, 1.17876, 1.18326, -52.8, -45, 1/9/2015 2:00:00 PM, 1/9/2015 4:00:00 PM, 0.4575, 0.4575, 9684.4075, -0.00551595032820753, 1/9/2015 2:00:00 PM, 1/9/2015 4:00:00 PM
